year,crop_id,plot_type,season,production,planting_cost,demand,price,normal_sales,excess_sales,normal_revenue,excess_revenue,profit
2024,1,山坡地,单季,0.0,0.0,5193.049349160416,3.25,0.0,0.0,0.0,0.0,0.0
2024,1,平旱地,单季,25067.56553539253,28560.0,27696.263195522217,3.25,25067.56553539253,0.0,81469.58799002571,0.0,52909.58799002571
2024,1,梯田,单季,21926.208363121757,26295.775037378673,21926.208363121757,3.25,21926.208363121757,0.0,71260.1771801457,0.0,44964.40214276704
2024,2,山坡地,单季,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
2024,2,平旱地,单季,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
2024,2,梯田,单季,0.0,0.0,20924.917763030822,7.5,0.0,0.0,0.0,0.0,0.0
2024,3,山坡地,单季,4285.285391264693,4777.5,6923.176276956728,8.25,4285.285391264693,0.0,35353.60447793372,0.0,30576.104477933717
2024,3,平旱地,单季,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0
2024,3,梯田,单季,23448.737821778814,24766.196842293662,14615.594362464202,8.25,14615.594362464202,8833.143459314611,120578.65349032967,0.0,95812.45664803601
2024,4,山坡地,单季,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2024,4,平旱地,单季,0.0,0.0,22781.99923955979,7.0,0.0,0.0,0.0,0.0,0.0
2024,4,梯田,单季,10512.765246371282,12862.5,8844.776175358505,7.0,8844.776175358505,1667.9890710127765,61913.43322750954,0.0,49050.93322750954
2024,5,山坡地,单季,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0
2024,5,平旱地,单季,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0
2024,5,梯田,单季,19508.495492125843,19743.955650050462,9466.87360835611,6.75,9466.87360835611,10041.621883769732,63901.39685640375,0.0,44157.44120635329
2024,6,山坡地,单季,20505.505887052692,14657.2720165809,20505.505887052692,3.5,20505.505887052692,0.0,71769.27060468443,0.0,57111.998588103525
2024,6,平旱地,单季,52882.154445503766,34020.0,67507.83831128459,3.5,52882.154445503766,0.0,185087.54055926317,0.0,151067.54055926317
2024,6,梯田,单季,31398.77920201786,21262.5,92190.39169384803,3.5,31398.77920201786,0.0,109895.7272070625,0.0,88633.2272070625
2024,7,山坡地,单季,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2024,7,平旱地,单季,51239.88043741087,28875.0,95082.75653691324,3.0,51239.88043741087,0.0,153719.64131223262,0.0,124844.64131223262
2024,7,梯田,单季,45164.30935503379,26790.798217776828,45164.30935503379,3.0,45164.30935503379,0.0,135492.92806510135,0.0,108702.12984732453
2024,8,山坡地,单季,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0
2024,8,平旱地,单季,0.0,0.0,21098.044034417653,6.75,0.0,0.0,0.0,0.0,0.0
2024,8,梯田,单季,31128.740376424124,33310.53595535829,47374.69887728328,6.75,31128.740376424124,0.0,210118.99754086285,0.0,176808.46158550456
2024,9,山坡地,单季,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2024,9,平旱地,单季,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2024,9,梯田,单季,28957.996134552926,21776.34984030832,28957.996134552926,6.0,28957.996134552926,0.0,173747.97680731755,0.0,151971.62696700922
2024,10,山坡地,单季,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
2024,10,平旱地,单季,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
2024,10,梯田,单季,12000.613197230936,9781.464044641712,12000.613197230936,7.5,12000.613197230936,0.0,90004.59897923202,0.0,80223.1349345903
2024,11,山坡地,单季,1441.5475758609525,5696.579210298076,1441.5475758609525,40.0,1441.5475758609525,0.0,57661.9030344381,0.0,51965.323824140025
2024,11,平旱地,单季,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
2024,11,梯田,单季,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
2024,12,山坡地,单季,33731.62273609259,14279.681500583732,33731.62273609259,1.5,33731.62273609259,0.0,50597.43410413888,0.0,36317.75260355515
2024,12,平旱地,单季,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
2024,12,梯田,单季,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
2024,13,山坡地,单季,34599.85681060657,39453.47615598958,34599.85681060657,3.25,34599.85681060657,0.0,112449.53463447136,0.0,72996.05847848178
2024,13,平旱地,单季,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0
2024,13,梯田,单季,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0
2024,14,山坡地,单季,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
2024,14,平旱地,单季,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
2024,14,梯田,单季,13429.114406903325,15151.395232819636,13429.114406903325,5.5,13429.114406903325,0.0,73860.12923796829,0.0,58708.73400514865
2024,15,山坡地,单季,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
2024,15,平旱地,单季,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
2024,15,梯田,单季,0.0,0.0,9611.859185868512,3.5,0.0,0.0,0.0,0.0,0.0
2024,16,水浇地,单季,13689.09332707208,21420.0,20192.47191446971,7.0,13689.09332707208,0.0,95823.65328950455,0.0,74403.65328950455
2024,17,普通大棚,第一季,4145.870371022598,3147.238385368286,4145.870371022598,8.24,4145.870371022598,0.0,34161.97185722621,0.0,31014.73347185793
