supplier_id,material_type,capacity_product_equivalent_m3_per_week,service_probability,stability_index,fulfilment_ratio_capped,capacity_normalized,service_normalized,stability_normalized,fulfilment_normalized
S001,B,0.815850815850816,0.27472527472527475,0.6049382716049383,0.21212121212121213,0.00013588795710645072,0.25206043956043955,0.5596683284722399,0.21155523435107745
S002,A,4.7894736842105265,0.7473684210526316,0.3099416946218456,0.883495145631068,0.0015609915666219272,0.7394736842105263,0.2308682283824726,0.8834114536232363
S003,C,91.69458403126745,0.9597989949748744,0.4638689618721102,0.9200924434484208,0.03272871697586684,0.9585427135678393,0.4024339509275585,0.9200350413437192
S004,B,0.9414533686378347,0.32038834951456313,0.571322321727933,0.08976157082748948,0.00018093416739641395,0.2991504854368932,0.5222003422426728,0.0891076952258618
S005,A,101.05263157894737,0.9385964912280702,0.7211648902889901,1.0,0.03608489540044924,0.9366776315789475,0.6892133023401968,1.0
S006,C,0.7575757575757576,0.23636363636363636,0.6575991150085376,0.06493506493506493,0.00011498813881876499,0.2125,0.6183635538846601,0.064263355054026
S007,A,48.25,1.0,0.49458418553253536,1.0,0.01714771304873396,1.0,0.4366688180474106,1.0
S008,C,1.0168650793650793,0.26785714285714285,0.46789673267233617,0.43617021276595747,0.00020797988983093786,0.24497767857142855,0.4069232621453251,0.435765182029474
S009,B,0.587121212121212,0.2375,0.600312540827927,0.043356643356643354,5.385617032728437e-05,0.21367187499999998,0.5545125373168842,0.04266943247834967
S010,B,2.9269972451790633,0.36363636363636365,0.4366824758772203,0.2951388888888889,0.0008930313741648816,0.34375000000000006,0.3721321779116595,0.29463254739821954
S011,C,2.7454780361757107,0.7441860465116279,0.5107223073699444,1.0,0.0008279311649812518,0.7361918604651163,0.4546561998999975,1.0
S012,A,0.7107843137254902,0.17647058823529413,0.6088863475795191,0.09415584415584416,9.820681413482915e-05,0.15073529411764708,0.5640688126706671,0.0935051252085877
S013,C,2.1072796934865905,0.6896551724137931,0.528250821463806,1.0,0.0005990471485852782,0.6799568965517242,0.47419329842306585,1.0
S014,A,1.728395061728395,0.5925925925925926,0.6600316964375577,0.875,0.00046316363014472855,0.579861111111111,0.6210748837092911,0.8749102054499306
S015,A,0.8641975308641977,0.2777777777777778,0.6319185713351302,0.0010041961051536778,0.00015322706561178996,0.2552083333333333,0.589740288433482,0.0002865610752976989
S016,A,2.8030303030303028,0.7727272727272727,0.5487151691918342,0.9736842105263158,0.000848571760716532,0.765625,0.49700264641639225,0.9736653064105117
S017,A,3.432835820895523,0.373134328358209,0.4427975654266949,0.711340206185567,0.0010744457670167293,0.353544776119403,0.3789479927814042,0.7111328455750974
S018,B,1.3888888888888888,0.4305555555555556,0.5738621293354599,0.584070796460177,0.0003414028369353598,0.4127604166666667,0.5250311852446629,0.5837720110546363
S019,B,2.847439916405434,0.20689655172413793,0.37703582572067784,0.3935018050541516,0.0008644988636185271,0.18211206896551724,0.30565064533911535,0.39306612319388684
S020,C,1.1235955056179776,0.3707865168539326,0.5626570414549863,0.39344262295081966,0.00024625778401894807,0.351123595505618,0.5125421114584762,0.39300689857671217
S021,A,2.150537634408602,0.6774193548387096,0.623382206803577,0.24691358024691357,0.0006145612146631225,0.6673387096774193,0.580225745786642,0.24637259579711246
S022,A,3.5353535353535355,0.24242424242424243,0.430887507001832,0.445859872611465,0.001111212810531782,0.21875,0.36567316619792706,0.44546180250415074
S023,C,14.157986111111114,0.83125,0.3404747080927657,0.21845700508974014,0.0049209231247161365,0.8259765625000001,0.26490000593037316,0.217895578677037
S024,B,2.439984258166076,0.5844155844155844,0.5408220851011554,0.5276595744680851,0.0007183686070463655,0.5714285714285714,0.48820509742252416,0.5273202657001631
S025,C,3.8580246913580245,0.9333333333333333,0.6440414002296408,1.0,0.0012269358784580415,0.93125,0.6032522667576056,1.0
S026,A,2.7450980392156863,0.8235294117647058,0.6259333038510272,1.0,0.000827794882536421,0.8180147058823529,0.5830691718803233,1.0
S027,A,2.8723404255319154,0.6382978723404256,0.5847366070358645,0.9759036144578314,0.0008734292041693329,0.6269946808510639,0.537151764381152,0.9758863046650469
S028,B,3.277674706246134,0.3877551020408163,0.5692429897572007,0.726027397260274,0.0010187986480352125,0.36862244897959184,0.5198827405705158,0.725830587287519
S029,B,1.1447811447811447,0.32222222222222224,0.5971754666663165,0.06967213114754098,0.00025385582033027646,0.30104166666666665,0.5510159872589977,0.06900382416833563
S030,A,9.310344827586208,0.9655172413793104,0.4432530377740115,1.0,0.0031823607800617916,0.9644396551724138,0.37945565749710153,1.0
S031,B,260.145202020202,1.0,0.8428893375749881,1.0,0.09314199515398407,1.0,0.8248860984801385,1.0
S032,C,1.5407986111111112,0.46875,0.563329540133185,0.7319587628865979,0.00039588387366966545,0.4521484375,0.5132916714532507,0.7317662137483046
S033,C,2.192982456140351,0.8947368421052632,0.5924197822436523,1.0,0.0006297836629575491,0.8914473684210527,0.5457153511290506,1.0
S034,C,0.5411255411255411,0.18181818181818182,0.5271736203157805,0.017584994138335287,3.736024232164677e-05,0.15625,0.4729926612871716,0.01687927003087276
S035,A,2.4000000000000004,0.55,0.4160064727051128,0.6371681415929203,0.0007040286174388982,0.5359375000000001,0.34908692097352584,0.6369074990051081
S036,B,3.4792368125701465,0.9074074074074074,0.6063984119692057,1.0,0.001091087059588085,0.904513888888889,0.5612957856543745,1.0
S037,C,437.2498274672188,0.9751552795031055,0.2954764989050871,0.7489398170722698,0.15665895419811607,0.9743788819875776,0.21474547249110212,0.748759466382939
S038,A,0.7500000000000001,0.275,0.6796227589829593,0.3829787234042553,0.0001122711624413659,0.25234375000000003,0.6429108771695208,0.3825354822209338
S039,C,8.487654320987653,0.7142857142857143,0.25402676256209056,0.4074074074074074,0.0028873103313130696,0.7053571428571429,0.16854602978010133,0.4069817147255967
