year,crop_id,plot_type,season,production,planting_cost,demand,price,normal_sales,excess_sales,normal_revenue,excess_revenue,profit
2024,1,山坡地,单季,5400.0,6000.0,5400.0,3.25,5400.0,0.0,17550.0,0.0,11550.0
2024,1,平旱地,单季,25200.0,25200.0,28800.0,3.25,25200.0,0.0,81900.0,0.0,56700.0
2024,1,梯田,单季,17480.0,18400.0,22800.0,3.25,17480.0,0.0,56810.0,0.0,38410.0
2024,2,山坡地,单季,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
2024,2,平旱地,单季,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
2024,2,梯田,单季,23750.0,20000.0,21850.0,7.5,21850.0,1900.0,163875.0,0.0,143875.0
2024,3,山坡地,单季,6479.999999999999,6299.999999999999,7200.0,8.25,6479.999999999999,0.0,53459.99999999999,0.0,47159.99999999999
2024,3,平旱地,单季,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0
2024,3,梯田,单季,15200.0,14000.0,15200.0,8.25,15200.0,0.0,125400.0,0.0,111400.0
2024,4,山坡地,单季,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2024,4,平旱地,单季,32900.0,32900.0,23800.0,7.0,23800.0,9100.0,166600.0,0.0,133700.0
2024,4,梯田,单季,9570.0,10150.0,9240.0,7.0,9240.0,330.0,64680.0,0.0,54530.0
2024,5,山坡地,单季,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0
2024,5,平旱地,单季,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0
2024,5,梯田,单季,9875.0,8750.0,9875.0,6.75,9875.0,0.0,66656.25,0.0,57906.25
2024,6,山坡地,单季,19440.0,12150.0,19440.0,3.5,19440.0,0.0,68040.0,0.0,55890.0
2024,6,平旱地,单季,64000.0,36000.0,64000.0,3.5,64000.0,0.0,224000.0,0.0,188000.0
2024,6,梯田,单季,87400.0,51750.0,87400.0,3.5,87400.0,0.0,305900.0,0.0,254150.0
2024,7,山坡地,单季,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2024,7,平旱地,单季,72000.0,36000.0,90000.0,3.0,72000.0,0.0,216000.0,0.0,180000.0
2024,7,梯田,单季,42750.0,22500.0,42750.0,3.0,42750.0,0.0,128250.0,0.0,105750.0
2024,8,山坡地,单季,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0
2024,8,平旱地,单季,22000.0,19800.0,22000.0,6.75,22000.0,0.0,148500.0,0.0,128700.0
2024,8,梯田,单季,49400.0,46800.0,49400.0,6.75,49400.0,0.0,333450.0,0.0,286650.0
2024,9,山坡地,单季,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2024,9,平旱地,单季,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2024,9,梯田,单季,30000.0,20000.0,30000.0,6.0,30000.0,0.0,180000.0,0.0,160000.0
2024,10,山坡地,单季,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
2024,10,平旱地,单季,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
2024,10,梯田,单季,12500.0,9000.0,12500.0,7.5,12500.0,0.0,93750.0,0.0,84750.0
2024,11,山坡地,单季,1500.0,5250.0,1500.0,40.0,1500.0,0.0,60000.0,0.0,54750.0
2024,11,平旱地,单季,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
2024,11,梯田,单季,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
2024,12,山坡地,单季,29700.00000000001,11000.000000000004,35100.0,1.5,29700.00000000001,0.0,44550.000000000015,0.0,33550.000000000015
2024,12,平旱地,单季,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
2024,12,梯田,单季,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
2024,13,山坡地,单季,36000.0,36000.0,36000.0,3.25,36000.0,0.0,117000.0,0.0,81000.0
