scenario_id,objective,normal_revenue,excess_revenue,planting_cost,total_production,normal_sales,excess_sales
0,20883684.231336825,25091640.707446035,0.0,4207956.476109209,4816446.5496401815,3855645.827614052,960800.7220261286
1,20558532.83488995,24753867.54196704,0.0,4195334.707077092,4827820.908376411,3837444.4095283863,990376.4988480255
2,20905445.379447274,25119717.10345497,0.0,4214271.724007694,4791895.24226585,3847769.3096394045,944125.9326264468
3,20713212.729708247,24923129.34648502,0.0,4209916.61677677,4810030.128499441,3776232.6221306864,1033797.5063687558
4,20829288.784842316,25051078.162080843,0.0,4221789.377238528,4834859.452923271,3835559.291568192,999300.161355079
5,20593862.484973855,24819461.93541257,0.0,4225599.450438715,4771034.740498982,3818665.1154065123,952369.6250924699
6,20721777.58693993,24916421.277110867,0.0,4194643.690170937,4805296.796273299,3835591.9933498288,969704.8029234705
7,20802275.89055919,25004327.892437257,0.0,4202052.001878067,4864587.09918294,3862848.57884107,1001738.5203418706
8,20571314.871005546,24753563.437510885,0.0,4182248.56650534,4841770.109696245,3825543.5010997504,1016226.6085964941
9,21253030.35166621,25455796.67609731,0.0,4202766.324431104,4931476.5559627805,3890605.1246245513,1040871.4313382294
10,20660699.96641483,24875420.942438833,0.0,4214720.976024,4770056.724174181,3812068.4271694412,957988.29700474
11,20645147.842886798,24854723.42816302,0.0,4209575.585276226,4822469.139476338,3859544.6021610545,962924.5373152838
12,20711702.01399347,24925998.67210223,0.0,4214296.6581087615,4835716.136429872,3843961.485249892,991754.65117998
13,20981670.74134803,25188615.469931707,0.0,4206944.7285836805,4880047.365862316,3873194.7469388423,1006852.6189234743
14,20789974.67765816,24983507.892243735,0.0,4193533.2145855757,4854900.957251137,3857334.2896940503,997566.6675570875
15,21115023.330142934,25342390.787690356,0.0,4227367.457547423,4926114.962631382,3908045.9890122376,1018068.9736191455
16,20980783.49518543,25164702.71089989,0.0,4183919.215714459,4808978.953099761,3826387.8622645754,982591.0908351862
17,20846195.011022262,25059419.90546953,0.0,4213224.894447265,4773630.316772988,3790251.657934216,983378.6588387722
18,20629727.612823624,24834100.495954312,0.0,4204372.883130687,4847161.002187461,3798745.2800402055,1048415.7221472564
19,20443708.223972086,24629706.973286893,0.0,4185998.7493148088,4753842.5145330615,3776083.541798277,977758.9727347856
20,20768037.931354146,24974162.033253875,0.0,4206124.101899729,4871375.354691034,3854423.5110899694,1016951.8436010649
21,20962402.259796917,25179089.328912556,0.0,4216687.069115639,4847967.847859041,3853517.054165245,994450.7936937952
22,20902336.32886632,25080150.01437716,0.0,4177813.685510841,4820586.79560026,3871917.2897807728,948669.5058194867
23,20986934.295168966,25210584.430491336,0.0,4223650.135322368,4789470.1961441245,3852595.963017214,936874.2331269099
24,20542373.41227272,24762501.405126728,0.0,4220127.992854005,4781365.816936523,3787840.9375722827,993524.8793642406
25,20525755.883188117,24758060.780644827,0.0,4232304.89745671,4794618.461814949,3808840.1807767674,985778.2810381813
26,20620819.451233614,24808771.103081577,0.0,4187951.6518479614,4825729.046381341,3840587.5989971734,985141.4473841676
27,20662137.91431461,24877021.342821755,0.0,4214883.428507145,4853278.401136635,3853348.8763654716,999929.5247711625
28,20809664.85946016,25023144.841936424,0.0,4213479.982476266,4836717.2119797245,3860859.450599254,975857.7613804709
29,20708785.43055533,24905738.22832951,0.0,4196952.797774183,4773369.4300554,3788357.4226222313,985012.0074331686
30,20695370.32788435,24891998.662471056,0.0,4196628.334586705,4865611.27106816,3844223.2309548985,1021388.0401132626
31,20547008.200794358,24726812.822739683,0.0,4179804.621945324,4788204.157934953,3830868.29390213,957335.8640328235
32,20830971.321248896,25041262.38271898,0.0,4210291.061470084,4823259.656495458,3836517.099735176,986742.5567602821
33,20858596.2533761,25065313.814320963,0.0,4206717.560944863,4877891.517278124,3866040.8507262287,1011850.6665518957
34,20708693.46752408,24951858.683104835,0.0,4243165.215580756,4813611.472961358,3863609.6221352434,950001.850826115
35,21025382.328428965,25213674.316358104,0.0,4188291.987929138,4807595.003625758,3883634.69846021,923960.3051655475
36,20817215.337252002,24981650.521851502,0.0,4164435.184599501,4872980.225989499,3858912.079864051,1014068.1461254474
37,20972875.88232913,25177001.650131352,0.0,4204125.767802223,4862824.9230483845,3862979.552969991,999845.3700783935
38,21697231.812995445,25878347.71901861,0.0,4181115.906023162,4907994.207841732,3953903.938518176,954090.2693235546
39,20846004.823214374,25070853.453045066,0.0,4224848.62983069,4832629.02229823,3835873.5650375355,996755.4572606939
40,20783272.853223376,24994206.977531604,0.0,4210934.1243082285,4813295.950199777,3842545.8463471197,970750.1038526575
41,20993524.974937372,25209847.139081247,0.0,4216322.164143875,4772604.297563803,3828999.0941559877,943605.2034078157
42,20601170.33057586,24792442.62170178,0.0,4191272.2911259215,4853349.91227022,3830097.163417663,1023252.7488525581
43,20737312.7097535,24933115.634770766,0.0,4195802.925017266,4814459.546570143,3790975.275278968,1023484.2712911747
44,21035384.218075402,25255099.433544606,0.0,4219715.215469206,4839246.674870761,3854528.282968232,984718.3919025303
45,20716989.19585408,24920745.195736397,0.0,4203755.999882317,4774698.808324011,3830068.2205818836,944630.5877421275
46,20743153.62308721,24954559.627979293,0.0,4211406.004892084,4847415.541128671,3852672.9468246363,994742.5943040348
47,20801845.575613536,25023713.285950094,0.0,4221867.710336557,4823949.945443701,3832752.798367311,991197.1470763899
48,20462353.10465599,24641492.199196473,0.0,4179139.0945404824,4770256.4605543725,3766526.2658697907,1003730.1946845804
49,20711170.96389307,24915306.579739295,0.0,4204135.615846226,4852607.75380089,3873714.9835597575,978892.770241133
50,20999739.937455997,25208645.261858422,0.0,4208905.324402424,4847763.960093429,3853059.833289831,994704.1268035988
51,21248408.74344744,25447818.133502264,0.0,4199409.390054821,4857004.612060176,3923559.7365300437,933444.8755301335
52,20827935.07296788,25039358.423203938,0.0,4211423.350236056,4803014.29841275,3858814.7552411454,944199.5431716032
53,20877423.413529325,25096884.903451957,0.0,4219461.4899226315,4853230.49626486,3856991.5841953214,996238.9120695384
54,21029633.397707276,25220013.153946407,0.0,4190379.756239131,4842150.552019315,3854498.984613469,987651.5674058455
55,20524136.285977375,24731672.910520665,0.0,4207536.624543291,4844107.397322543,3848086.8693995853,996020.5279229584
